date,trend,usd
01/05/16,62,460.327
08/05/16,40,453.042
15/05/16,36,459.437
22/05/16,38,457.848
29/05/16,49,438.773
05/06/16,43,524.083
12/06/16,62,574.106
19/06/16,59,675.343
26/06/16,49,764.045
03/07/16,49,630.246
10/07/16,45,659.688
17/07/16,39,649.962
24/07/16,40,679.051
31/07/16,53,661.05
07/08/16,41,625.881
14/08/16,39,592.78
21/08/16,39,571.4438
28/08/16,38,580.69
04/09/16,39,573.555
11/09/16,40,608.9175
18/09/16,39,605.8088
25/09/16,38,608.6988
02/10/16,38,599.1763
09/10/16,41,610.2913
16/10/16,39,614.6238
23/10/16,44,639.8275
30/10/16,48,649.245
06/11/16,48,696.3538
13/11/16,48,712.2363
20/11/16,48,702.5038
27/11/16,50,728.6075
04/12/16,49,728.425
11/12/16,47,766.4638
18/12/16,58,768.6213
25/12/16,64,788.5888
01/01/17,100,894.4825
08/01/17,82,997.6888
15/01/17,62,913.5238
22/01/17,59,822.4225
29/01/17,64,925.3313
05/02/17,66,914.0438
12/02/17,61,1013.9938
19/02/17,70,999.5125
26/02/17,85,1052.8175
05/03/17,93,1179.968
12/03/17,79,1277.685
19/03/17,78,1229.505
26/03/17,69,1017.8
02/04/17,67,1098.776
09/04/17,68,1210.055
16/04/17,68,1184.787
23/04/17,73,1248.2175
