date,usd,trend
08/04/2012,4.827,2
15/04/2012,4.7925,2
22/04/2012,4.9689,3
29/04/2012,5.2035,2
06/05/2012,4.9044,3
13/05/2012,5.0499,2
20/05/2012,4.93,2
27/05/2012,5.09,2
03/06/2012,5.139,2
10/06/2012,5.2051,2
17/06/2012,5.4683,3
24/06/2012,6.1638,2
01/07/2012,6.35,2
08/07/2012,6.629,3
15/07/2012,6.799,3
22/07/2012,7.621,3
29/07/2012,8.4096,3
05/08/2012,8.7103,3
12/08/2012,10.87,4
19/08/2012,11.624,4
26/08/2012,8,3
02/09/2012,10.61,5
09/09/2012,10.2041,3
16/09/2012,11.02,3
23/09/2012,11.87,3
30/09/2012,12.1933,3
07/10/2012,12.4,3
14/10/2012,11.8,3
21/10/2012,11.7389,3
28/10/2012,11.6311,2
04/11/2012,10.7,3
11/11/2012,10.8001,3
18/11/2012,10.8687,3
25/11/2012,11.6515,4
02/12/2012,12.4821,4
09/12/2012,12.5,4
16/12/2012,13.388,3
23/12/2012,13.3,3
30/12/2012,13.312,4
06/01/2013,13.45,4
13/01/2013,13.454,4
20/01/2013,14.116,4
27/01/2013,15.7,5
03/02/2013,17.8182,5
10/02/2013,20.59,6
17/02/2013,23.9698,7
24/02/2013,26.8146,7
03/03/2013,29.89,9
10/03/2013,34.5,11
17/03/2013,46,16
24/03/2013,47.4,25
31/03/2013,71.5,41
07/04/2013,93.03,78
14/04/2013,162.301,43
21/04/2013,90,25
28/04/2013,119.2,23
05/05/2013,134.4444,18
12/05/2013,115.98,18
19/05/2013,114.82,15
26/05/2013,122.5,15
02/06/2013,133.5,13
09/06/2013,122.5,13
16/06/2013,100.4374,11
23/06/2013,99.9,12
30/06/2013,107.9,15
07/07/2013,97.51,11
14/07/2013,72.5053,10
21/07/2013,90.3713,10
28/07/2013,85.4725,10
04/08/2013,92.1,11
11/08/2013,96.6,13
18/08/2013,94.1625,13
25/08/2013,98.845,11
01/09/2013,111.795,10
08/09/2013,128.2597,9
15/09/2013,116.595,9
