date,usd,trend
02/08/2016,552.821,38
03/08/2016,565.2638,67
04/08/2016,578.3213,46
05/08/2016,574.9563,38
06/08/2016,588.4225,34
07/08/2016,592.78,32
08/08/2016,590.6225,34
09/08/2016,584.7588,34
10/08/2016,592.8925,31
11/08/2016,586.525,30
12/08/2016,586.0263,30
13/08/2016,585.0813,28
14/08/2016,571.4438,28
15/08/2016,567.2025,32
16/08/2016,576.2488,30
17/08/2016,571.745,28
18/08/2016,572.5025,30
19/08/2016,573.6638,31
20/08/2016,580.7025,27
21/08/2016,580.69,28
22/08/2016,584.7325,31
23/08/2016,581.2813,30
24/08/2016,577.995,30
25/08/2016,575.7338,31
26/08/2016,578.1563,30
27/08/2016,568.6663,28
28/08/2016,573.555,29
29/08/2016,572.3613,30
30/08/2016,575.9988,29
31/08/2016,572.3338,28
01/09/2016,571.6938,28
02/09/2016,574.1475,28
03/09/2016,598.3838,29
04/09/2016,608.9175,30
05/09/2016,606.0275,31
06/09/2016,611.07,29
07/09/2016,614.7875,29
08/09/2016,624.9488,33
09/09/2016,621.7963,29
10/09/2016,622.2125,31
11/09/2016,605.8088,31
12/09/2016,606.3075,30
13/09/2016,606.9213,31
14/09/2016,608.22,30
15/09/2016,605.21,32
16/09/2016,606.3338,30
17/09/2016,605.2938,27
18/09/2016,608.6988,30
19/09/2016,608.5275,31
20/09/2016,599.4738,30
21/09/2016,595.7988,32
22/09/2016,595.035,28
23/09/2016,601.7138,29
24/09/2016,601.3413,28
25/09/2016,599.1763,30
26/09/2016,606.8125,29
27/09/2016,604.7625,29
28/09/2016,603.5188,28
29/09/2016,605.0588,29
30/09/2016,608.4375,29
01/10/2016,613.9338,29
02/10/2016,610.2913,27
03/10/2016,612.3375,29
04/10/2016,609.375,30
05/10/2016,610.885,29
06/10/2016,610.9,28
07/10/2016,616.4888,28
08/10/2016,616.5963,30
09/10/2016,614.6238,28
10/10/2016,617.4225,30
11/10/2016,639.3738,32
12/10/2016,635.0813,32
13/10/2016,635.02,32
14/10/2016,638.3675,32
15/10/2016,637.3713,30
16/10/2016,639.8275,29
17/10/2016,636.92,28
18/10/2016,635.5088,31
19/10/2016,628.1538,30
20/10/2016,628.6225,30
21/10/2016,630.1538,29
22/10/2016,652.715,30
23/10/2016,649.245,29
24/10/2016,648.3988,30
25/10/2016,652.895,32
26/10/2016,674.3575,33
27/10/2016,686.52,36
