date,usd,count,pos,neg,diff
02/02/2017,1007.795,34335,5543,-5297,246
03/02/2017,1018.111,40838,41437,-39908,1529
04/02/2017,1033.653,35919,49724,-47698,2026
05/02/2017,1013.994,41773,44721,-44290,431
06/02/2017,1024.613,48964,50322,-52459,-2137
07/02/2017,1052.539,49913,61834,-59296,2538
08/02/2017,1054.344,49369,61873,-60294,1579
09/02/2017,988.9475,24566,57375,-63373,-5998
10/02/2017,993.0788,44782,28887,-29699,-812
11/02/2017,1010.003,45430,53686,-55775,-2089
12/02/2017,999.5125,44808,59875,-51169,8706
13/02/2017,996.8575,45421,52884,-53783,-899
14/02/2017,1009.251,33553,57436,-54368,3068
15/02/2017,1009.116,34778,39226,-40828,-1602
16/02/2017,1034.083,25069,43283,-39908,3375
17/02/2017,1053.123,39281,29631,-28964,667
18/02/2017,1058.406,37067,48901,-46478,2423
19/02/2017,1052.818,44052,44507,-42578,1929
20/02/2017,1083.241,41067,53129,-52273,856
21/02/2017,1123.656,42970,49969,-49421,548
22/02/2017,1122.195,50179,53775,-52756,1019
23/02/2017,1178.384,38585,57866,-59079,-1213
24/02/2017,1180.918,41101,48213,-49324,-1111
25/02/2017,1151.581,44259,50549,-50376,173
26/02/2017,1179.968,40560,54511,-50164,4347
27/02/2017,1194.278,36909,47065,-49461,-2396
28/02/2017,1190.888,3319,43559,-44930,-1371
01/03/2017,1230.016,35808,4010,-4166,-156
02/03/2017,1260.924,24240,41428,-41322,106
03/03/2017,1290.786,41977,29296,-27697,1599
04/03/2017,1267.68,37082,50159,-48847,1312
05/03/2017,1277.685,49294,44169,-43010,1159
06/03/2017,1280.868,50100,60299,-59034,1265
07/03/2017,1232.431,47948,62057,-59544,2513
08/03/2017,1150.481,45443,56625,-58094,-1469
09/03/2017,1191.815,117751,53701,-52647,1054
10/03/2017,1117.025,111938,146956,-159369,-12413
11/03/2017,1181.645,86790,103088,-118102,-15014
12/03/2017,1229.505,80871,45625,-46253,-628
13/03/2017,1243.242,49545,45625,-46253,-628
14/03/2017,1246.309,37831,45625,-46253,-628
15/03/2017,1259.601,47022,45625,-46253,-628
16/03/2017,1172.909,34549,45625,-46253,-628
17/03/2017,1070.128,47495,42302,-43583,-1281
18/03/2017,970.598,43990,57833,-61649,-3816
19/03/2017,1017.8,33206,52260,-56672,-4412
20/03/2017,1041.343,33,38361,-41921,-3560
21/03/2017,1115.039,6414,38,-32,6
22/03/2017,1037.44,17526,7385,-9235,-1850
23/03/2017,1029.95,39806,20103,-25273,-5170
24/03/2017,935.946,45741,47760,-53336,-5576
25/03/2017,964.692,38026,54561,-58877,-4316
26/03/2017,965.229,42920,46303,-47434,-1131
27/03/2017,1040.491,44179,51982,-53004,-1022
28/03/2017,1044.251,40587,51903,-57433,-5530
29/03/2017,1040.392,40603,48396,-54925,-6529
30/03/2017,1037.527,21319,48855,-51063,-2208
31/03/2017,1079.748,36672,24850,-25504,-654
01/04/2017,1089.511,40543,45625,-46253,-628
02/04/2017,1098.776,9879,45625,-46253,-628
03/04/2017,1147.631,42515,12789,-11596,1193
04/04/2017,1143.746,46365,53139,-51608,1531
05/04/2017,1134.998,28310,57109,-54495,2614
06/04/2017,1190.597,40543,33355,-34582,-1227
07/04/2017,1193.019,40543,45625,-46253,-628
08/04/2017,1184.824,40543,45625,-46253,-628
09/04/2017,1210.055,32657,45625,-46253,-628
10/04/2017,1213.339,47352,39919,-38664,1255
11/04/2017,1224.767,26768,53894,-57259,-3365
12/04/2017,1216.505,44702,34105,-31825,2280
13/04/2017,1178.533,27651,52274,-52279,-5
14/04/2017,1183.44,33550,32934,-32490,444
15/04/2017,1180.699,37880,41660,-39725,1935
16/04/2017,1184.787,40991,45783,-45857,-74
17/04/2017,1203.731,22504,47476,-47562,-86
18/04/2017,1217.596,40562,26877,-26626,251
19/04/2017,1226.939,44523,49122,-49655,-533
20/04/2017,1255.403,40543,52857,-53185,-328
21/04/2017,1257.135,23016,45625,-46253,-628
22/04/2017,1244.375,36977,26929,-26685,244
23/04/2017,1248.218,39552,42852,-42496,356
24/04/2017,1248.325,40543,46518,-46906,-388
